  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0240.pt
Epoch 241/300 | avg loss: 0.055051                                                                                                                                                                                                                                             
Epoch 242/300 | avg loss: 0.054531                                                                                                                                                                                                                                             
Epoch 243/300 | avg loss: 0.055097                                                                                                                                                                                                                                             
Epoch 244/300 | avg loss: 0.055169                                                                                                                                                                                                                                             
Epoch 245/300 | avg loss: 0.055022                                                                                                                                                                                                                                             
Epoch 246/300 | avg loss: 0.055137                                                                                                                                                                                                                                             
Epoch 247/300 | avg loss: 0.053375                                                                                                                                                                                                                                             
Epoch 248/300 | avg loss: 0.054832                                                                                                                                                                                                                                             
Epoch 249/300 | avg loss: 0.054459                                                                                                                                                                                                                                             
Epoch 250/300 | avg loss: 0.054717                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0250.pt
Epoch 251/300 | avg loss: 0.053851                                                                                                                                                                                                                                             
Epoch 252/300 | avg loss: 0.054552                                                                                                                                                                                                                                             
Epoch 253/300 | avg loss: 0.054774                                                                                                                                                                                                                                             
Epoch 254/300 | avg loss: 0.054908                                                                                                                                                                                                                                             
Epoch 255/300 | avg loss: 0.054531                                                                                                                                                                                                                                             
Epoch 256/300 | avg loss: 0.054431                                                                                                                                                                                                                                             
Epoch 257/300 | avg loss: 0.054424                                                                                                                                                                                                                                             
Epoch 258/300 | avg loss: 0.054104                                                                                                                                                                                                                                             
Epoch 259/300 | avg loss: 0.054753                                                                                                                                                                                                                                             
Epoch 260/300 | avg loss: 0.054337                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0260.pt
Epoch 261/300 | avg loss: 0.054821                                                                                                                                                                                                                                             
Epoch 262/300 | avg loss: 0.054879                                                                                                                                                                                                                                             
Epoch 263/300 | avg loss: 0.054318                                                                                                                                                                                                                                             
Epoch 264/300 | avg loss: 0.054445                                                                                                                                                                                                                                             
Epoch 265/300 | avg loss: 0.055441                                                                                                                                                                                                                                             
Epoch 266/300 | avg loss: 0.054526                                                                                                                                                                                                                                             
Epoch 267/300 | avg loss: 0.055410                                                                                                                                                                                                                                             
Epoch 268/300 | avg loss: 0.054285                                                                                                                                                                                                                                             
Epoch 269/300 | avg loss: 0.054002                                                                                                                                                                                                                                             
Epoch 270/300 | avg loss: 0.055059                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0270.pt
Epoch 271/300 | avg loss: 0.054696                                                                                                                                                                                                                                             
Epoch 272/300 | avg loss: 0.053754                                                                                                                                                                                                                                             
Epoch 273/300 | avg loss: 0.055182                                                                                                                                                                                                                                             
Epoch 274/300 | avg loss: 0.054067                                                                                                                                                                                                                                             
Epoch 275/300 | avg loss: 0.054703                                                                                                                                                                                                                                             
Epoch 276/300 | avg loss: 0.053938                                                                                                                                                                                                                                             
Epoch 277/300 | avg loss: 0.054402                                                                                                                                                                                                                                             
Epoch 278/300 | avg loss: 0.054691                                                                                                                                                                                                                                             
Epoch 279/300 | avg loss: 0.054612                                                                                                                                                                                                                                             
Epoch 280/300 | avg loss: 0.054391                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0280.pt
Epoch 281/300 | avg loss: 0.054038                                                                                                                                                                                                                                             
Epoch 282/300 | avg loss: 0.054242                                                                                                                                                                                                                                             
Epoch 283/300 | avg loss: 0.054398                                                                                                                                                                                                                                             
Epoch 284/300 | avg loss: 0.054331                                                                                                                                                                                                                                             
Epoch 285/300 | avg loss: 0.053992                                                                                                                                                                                                                                             
Epoch 286/300 | avg loss: 0.054152                                                                                                                                                                                                                                             
Epoch 287/300 | avg loss: 0.054756                                                                                                                                                                                                                                             
Epoch 288/300 | avg loss: 0.054472                                                                                                                                                                                                                                             
Epoch 289/300 | avg loss: 0.054174                                                                                                                                                                                                                                             
Epoch 290/300 | avg loss: 0.054004                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0290.pt
Epoch 291/300 | avg loss: 0.054609                                                                                                                                                                                                                                             
Epoch 292/300 | avg loss: 0.054123                                                                                                                                                                                                                                             
Epoch 293/300 | avg loss: 0.054468                                                                                                                                                                                                                                             
Epoch 294/300 | avg loss: 0.054518                                                                                                                                                                                                                                             
Epoch 295/300 | avg loss: 0.054333                                                                                                                                                                                                                                             
Epoch 296/300 | avg loss: 0.054865                                                                                                                                                                                                                                             
Epoch 297/300 | avg loss: 0.054151                                                                                                                                                                                                                                             
Epoch 298/300 | avg loss: 0.054605                                                                                                                                                                                                                                             
Epoch 299/300 | avg loss: 0.054113                                                                                                                                                                                                                                             
Epoch 300/300 | avg loss: 0.054653                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0300.pt
Done! Final checkpoint → ./outputs\20260615_234944\checkpoints\final.pt
Final samples saved in ./outputs\20260615_234944\samples
